content,label
애들 재워놓고 두근두근 숨죽이고 봤네요. 소리지를까봐 입을 막고서^^,1
한낱 미물인 짐승들도 양성애는 안할듯. 개더러워,0
"여자가 잘못을 했건안했건, 한때 사랑해서 부부가 된 사이임에 대중들에게 이런식으로 알려서 여자 이미지 깍아내려야될까? 본인은 결혼생활에서 단1도 헛점이 없이 떳떳한가? 자잘못을 따지기 이전에 한때 부부사이였다.아무리 억울해도 남자라면,매너있게 정리하는게 더 멋진남자아닌가? 돈도 명예도 다 얻었으면서~",1
박서준 잘생겼다,1
다필요없고 김지원이 진짜 이쁘더라,1
운동넘힘들어대단해요기럭지부럽,1
공사에 걸려들었네...이제 끝.,1
또 중간에 말꼬리 짤라서 ... 무식쟁이들 흥분시킬려고 ZR한다 조센찌라시... 마지막수단으로 살아볼려고 고금리에 손을 대는 열시미 살아온 영세민들을 보호해보자는거자나~~ 국가 존재목적이자나~~공정경제 고 시ㅂㅅ꺄~,0
멋있는 여자라는 사람은 바로 김남주 배우님 같은 사람이구나하고 느꼈어요ㅠㅠ 앞으로 더 공정하고 투명한 연기로 또 팬들 앞에 나타나 주세요!!,1
이 마음이 오래가야 할낀데...결혼이 문제가 아니다.,1
유학다녀와서 레스토랑에서 뭘 하는걸까 궁금,1
기상 생중계 정말 다들 사직서 내라..,1
무슨의문증폭이야??다 아는사실을~~??!!,1
의혹방송 그만보고싶네요...나중에 혐의 밣혀지면 그때 방송하세요...놀기좋아하는 성공한 어린 사업가같은데~ 양진호 회장같은 사람 이상으로 보도하는듯...,1
나와도 된다. 동상이몽 미우새 예능하면 되겠다. 아줌마가 수다나 떨어야지,1
야 그냥축하해줘라 개 소리하지말고,0
둘다 미혼이세요?윤세아는 미혼이라는걸알겠는데 파국이아저씨가 미혼이셨구나또 션샤인 통역아저씨와 헷갈려서...,1
푸른거탑을 보고싶다,1
강다니엘 까는사람들은 뭐지 지들이 뽑아놓고 오라마라야 머리가없나,1
ㅠㅠ.. 진짜 죽여버리자 저거.. 미친,0
만이천원짜리 립밤 6일만에 다쓴다고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 재치있으심ㅋㅋㅋㅋㅋㅋ,1
요즘 들어 이혼충 좆병신새끼들이 창피한지를 모르고 나대냐 왜케 ㅋㅋㅋ,0
강다니엘 솔로는 무리지 않을까 노래는 잘하는 편은 으니던데 워너원 좀 더 했음 좋았을텐데,1
독립혈통,1
장제원 아들 가릴려고 별짓 다한다 ㅋㅋ,1
여자지만 한지민 배우님은 진짜 내스타일..성격이 너무 좋으셔ㅠㅠ,0
윤식당을 못넘기네! 허긴 태호가 뺄갱이냄새가나니...,0
저런 냄비에 파스타면 삶다가 생일초처럼 불붙은 분들 분명히 있쥬? ㅋㅋ,1
아직 연기가 무르익지 않았는데 어려운거만 자주하네...로코나해서 연기실력 쌓지,1
ㅎㅎ얼마나 이쁘겠어요~~ 그것도 딸인데^^,1
개별 공무원 뷰웅들의 헷지랄에 뭔 청와대까지 들먹이는지... 빠끄네 때도 순시리가 개뻘짓했지 청와대는 암것도 않했지 말입니다~,0
원걸멤버들은 가만히있는데?? 왜 모르는?? 너네들이 욕하냐 ㅋㅋㅋㅋ어이없네,1
효섭씨 ...왜이래요 진짜....ㅠㅠ왜 하필 싸이...상상도 못했네 진짜,1
대표팀 오래 해주세요최고ㅜㅜ,1
지디는 아프다고 2018년 100일을 병가로 군대 밖에서 보냈는데 틈틈히 연애질은 하고 싶었나봐 ㅋㅋ정말 YG의 끊임없는 의혹들...올 11월에 왜 제대하니?다른 사병들은 아픈데가 없어서 병가 못내고 군복무 충실히 하나??,0
아름이제알음..,1
난 이해 안가는게 여자 대깨문이야 군대를 안가니 추미애 아들 옹호 하는건 그렇다처도 남자 깨문이들은 다들 군대 가자나?? 안가나 빽으로 빼나?? 본인들도 가면서 어떻게 이런걸 쉴드를 치지?? 거참 ㅋ 돈이 그렇게 좋나?,0
예뻐용 ㅎㅎ,1
이걸 죽도 밥도 아니라고 하는 겁니다. 철학과 리더십도 없고.,1
주변에 진짜 저런 경우를 봐서 그런지 안타깝다ㅜㅜ애가 준영이 애였다니,1
여자는 역시 널널한 와이셔츠 입었을 때가 제일 좋아.ㅎㅎ 김지원 너무 예쁘다.ㅎㅎ,1
빵에서 후장 파열로 뒤질놈임 ㅋㅋ,0
서준희 짱~멋있어요~♡,1
유재석이는 징징되면서 억지로할거같음. 가식세끼,0
중반까지 사건들이 잘 안 이어지고 중반 이후부터 퍼즐조각들이 맞춰지기 때문에 전반은 좀 지루할 수 있음.,1
한국 배우임이 자랑스럽습니다.,1
울나라 제일 잘나가는 아이돌 지디도 ㅈ교권유까지 받고 현역뛰고있구만 개쩌리들이 웃기고있네.니들은 군대를가든말든 아무도 관심도없다만 이건아니지 어디서 누굴 속일라고,0
졸 훈남,1
정준영 빽 믿고 친구하다 망한거 어쩌라고,1
메인보컬이 빠지다니.. 그래도 젝키노래중에서 강성훈 목소리가 중요한데.. 내생각에 물의는 일으켰으나 콘서트는 끝까지 참여하는 책임지는 자세를 보이는게 더 나았을거같음.. 팬들한테 욕먹는건 당연히 각오해야하고ㅡ,1
대한민국 젊은배우는 다 죽었냐? 공효진이 언제까지 연애 영화에 나올꺼야 60먹고도 나오나??,1
자본주의 1부부터 5부까지 너무 잘 보고 갑니다. 앞으로 살아가는데 있어서 많은 도움이 될것 같습니다. 훌륭한 다큐 제작해주셔서 감사합니다.,1
정신병자,0
벌레네 ㅋㅋㅋ,0
행복하시길~^^ 정말 좋아하는 개그우먼♡,1
간만에 호감형 여배우 봄.,1
멋진남자진짜남자축하드립니다,1
마지막 엔딩씬이 눈에 보인다 요양원에 휠체어 태워져 산책나온 천호진 끌어주는 와이프 그리고 손주와 결혼한 딸들 하하호호 끝,1
벌려라 들어간다,0
예비군이랑 비교하는 새낀 정신머리가 있는거노ㅋㅋ,0
민주당 Dog 자식들은 경제살린다고 말하는건 아가리로만 할뿐,0
돼지같은 아줌마보다 훨씬 이쁨 ㅋㅋ,0
내연기관에서 현기차는 한계가 있다. 독일차 일본차보다 뒤쳐지는건 인정해야 한다.,1
욕하면서 왜 보냐? 그냥 보지 마. 맨 밑으로 보내 버려. 난 외지상도 안 본다. 맨날 쓰레기 같은 소재로 에피무한 반복하는 게 지겨워서 보다 때려친 지 몇 년 됐음,0
동영상을보면 90도인사 전혀 어색하지 않아요 기사제목이 악의적인듯. . .,1
진짜 화나는게 그냥 상식적으로 안돼고 안되왔던걸 권력을 가진 자의 아들이라서 된다고 우기는 좌파새끼들과 그걸 추종하는 대깨문들이 더 싫다,0
아니 유연석 mc 너무 못 봐 ㅠㅠ 자꾸 발음 뭉개지고....답답해 김혜수처럼 물 흐르듯이 안되네;,1
이봐요 미친놈씨,0
이거 문재인 정부에 의한 대상인가??!! 문재인 정권의 소리 없는 권력 탄압이 보이기 시작하는데?? 앞으로 문재인 까는 정치적 예술이 쏟아져 나올때 문정부는 어떻게 대처할지 보이는군~,0
온유 이불킥하고 있겠네.....,1
대박 돈도 좋지만 꼭 성공하여 국민들에게 희망과 용기를 나라엔 국격과 한국의 우월성을 세계에 알립시다.,1
우왕 저런 또라이를 신처럼 모시는 하와이치 홍어들은 사절받는게 정답이겠죠?,0
현실에선 직장이나 친구나 뭐든 페미같이생긴년들은 그냥 티도 못내고 아가리닫고 땅쳐다보고 다니는 소심한 새끼들만 있는데 인터넷에서는 왜케 활개치냐 ㅋㅋㅋ 진짜 같잖아죽겠네. 현실에선 말한마디 모르는사람한테 못거는 새기들인데 키보드만 잡으면 깡패집단이 따로없네 ㅋㅋ,0
이제 그만ㅜㅜ 기사너무많이나요,1
친일파가 잘사는 나라.. 친일파 후손인 문재인이랑 홍영표가 잘사는 나라ㅠㅠ,0
진짜 ㅈㄴ 개념없다,0
델루나 너모 재밌단..,1
너무많아서 기억안날수도있지소유 다솜 피해자들도 나와야 이참에 묶어서 디처리하자,1
마사지받음 붓기다빠져요.걱정마요ㅎ셋다25키로찌고 다뺌ㅎ,1
정준영은 설마 불법촬영을 인피니트 빅스 비투비 멤버까지 초대한건 아니겠지??,1
살찐게 문제가 아니었던듯... 패완얼...,1
장윤주 옆에잇는여자 개이쁘당 저런여자들은 얼굴이 너무이버서 모델로서 크게 못되는건가 얼굴에만 시선쏠려서 ㅎ 하나같이 다들 애매하게샹긴사람들이 대성하는듯?,1
얘 진짜 정극 드럽게 안어울림. 걍 개그맨이나 해야 할 관상,1
사랑과 전쟁이 현실로...,1
와 한채아 진짜 죽이는데 좋겠다,1
재밌게 봤어요!!!! 제작진분들 배우분들 모두모두 수고하셨습니다!,1
잘생긴 얼굴 이렇게라도 보니 넘 좋다,1
진짜 은돔벨레가 ㄹㅈㄷ였음 싹다 패스미스ㅋㅋ,0
동탄에 전라도 사람 ㅈㄴ많음민주당 화성시장이 화성 서부에서 밀리는데동부 특히 동탄에서 몰표 받아서 당선됨,0
수많은 정상적인 여자들은 기안을 응원합니다,1
블랙핑크없으니깐 지들이 왕노릇하네ㅋ 빈집털이 1위주제에 어차피담주부턴 트와이스1위,1
프듀 안보고 팬 된거니 상관없다 나는,1
저거 퓨마임 좆된듯 ㅋㅋㅋ,0
아무리 짜증나는 년도 보지에 좆 꼽고 미친듯이 흔들어서 이소령 괴성지르면서 질내사정으로 홍콩가면 사랑스러운 마음이 드는게 사나이의 마음 아니노?,0
제보자를 협박하네무섭다 절대 권력ㅠ,1
난 꼬치집 위생보다 드릴타코야끼가 더 충격적이였는데 백종원씨는 꼬치집한테 더 뭐라하더라 ㅋㅋ,0
892,1
찢어지긴 뭘안찢어 훈련소 2주차때 존나뛰어댕기다가 찢어짐,0
제구가 미쳤네 진짜... 그렉 매덕스 같아요 @.@,1
아줌마? ㅋ 어캐 됨? ㅋㅋㅋ 아직 이야? ㅋㅋ 또 빤스런 ? ㅋㅋ,1
음주운전으로 사망케 한 사람 사형바로 시켜봐라.. 음주운전 하는 놈 없을 것임.. 답을 알지만 못하는 멍청한 사법부와 술먹고 운전하는 저능아 년놈들..,0
오늘 방송 불편햇어요. 그 모습은 지극히 사생활인데.. 그걸 방송에서 (혹은 윤종신이면 가요계대선배일터) 굳이 까발릴 이유가 뭐가 잇나요. 작가가 짚고 넘어가라 해도 윤종신 김구라 김국진 아무도 반대한 사람이 왜 없엇을까요.. 도마위에 올려진양 급긎 사과하고 해명해대는 모습도 너무 불편햇지만 아저씨들 술안주 거리로 노가리까듯 얘기들으면서 머릿속으론 뭔생각을 햇을지... 그런게 다보여서 너무너무 보기 불편햇네요,1
30년된 다썩어가는 빌라를 겉화장만 쌩돈들여 했다는 부분에서 믿거,0
순직한 아버지의 뒤를 이어 얼마전 급류에 쓸려가던 아이를 구해주신 경찰집안이 이 시대의 명문가가 아닐까...어떻게 대를 이어 저리 훌륭하실 수 있을까💐,1
하나뿐인 정상 고래엄마,1
사진이 넘 이상해싼티나게 성형을하셨어요성형비는 아깝지않아 신랑 용돈은 벌벌,1
사귀긴했네,1
노숙자랑 태풍이할아버지랑 태풍이가 뭐라도 할때가 되구만왠 명희타령으로 시간을 이케 끄나~~,1
듀,1
아 ㅠㅠ 오빠 너무 잘생겼어요 .. ㅠㅠ 오빠 때문에 롤 시작했다가 등급 아이언4 나오고 접었어요,1
나이도 많이 쳐 먹은 늙은 송중기가 뭐가 순수함 ㅋㅋ 확실하지도 않는 찌라시 내용으로 또~ 여자 연예인 머리채만 오지게 쳐 잡죠~?,1
이사람 아무리 봐도 장모님 까지 파실분은 아니다. 진정성 있는 사업가라 할까우리나라에 필요한 인재상이죠,1
진짜 아프면 무대에 나와서 최소한 죄송하다는 말이라도 하는게 예의인듯...예전에 학교축제에서 정인이 정말 아파서 목소리가 안나온다고 죄송하다 그러고 내려가는데 대타로 갑자기 드렁큰타이거 윤미래 올라와서 완전 미쳤던 적 있는데ㅋㅋ,1
떡떡따라떡떡따~ 딱 질리는 기간 ㅎ,1
존나 오래전에 본거네 ㅋㅋ,0
대깨문의 머리속을 해부해봤으면 좋겠다 진짜 뭐가 들어있는지이러면 지들에게 콩고물이라도 떨어지려나진짜 나라가 망하길 바라는 걸까아님 악마새끼,0
이효리 하면 제일 먼저 생각 나는게 유고걸이지 그 못 생긴 만두속 같이 생긴 놈이랑은 어울리지 마라 효리야 누구냐구? 상순이? 아니아니 김제동 말야,0
방구석 악플러새끼 ㅋ 직업도 없이 하루종일 연예인 기사 악플만 쓰면서 자기가 무슨 좆문가나 되는지 아는놈임. 네이버 다중이로 유명하고 여기악플 전부 한놈임.,0
셀트리온 항체치료제 대박,1
북한남자 10에 9은 동성색스 해봤을거다,0
형들한테 보고배운거지머 힙합한다고 껄렁대는것들 하나같이 다 이모냥 이꼴임 고등래퍼니 쇼미더머니 이런것들도 싹다 없애아댐,1
항문혈관 그사람?,1
이 또라이 연놈들 생각보다 오래가네 니들이 아무리 국제 영화상 타봐라 하나도 안좋아보인다,0
설리가 왜 불편했는지는 설리한테 악플단 쿵쾅이들한테나 좀 물어봐.,0
애휴 이쁜효린씨 화이팅,1
많은 사람들이 너와 오빠를 응원한단다 건강하게 행복하길기도한다,1
꽃뱀들 본보기로 처형해라,0
카이가 도대체 몇명이냐~이름좀 바꿔라,1
결혼한지가 언젠데.....둘이다니는건 당연한거지;;;,1
음 아이돌 터트려야 파급이 크지,1
베댓소름돋네ㄷㄷ 정치기사에 달창들이하는거랑 똑같노,1
인터스텔라까지는 좋았는데 이제는 걍 이해하기 어렵게 아무소리나 해놓으면 빨아주네,1
엘지는 분발좀 해라 최소 국내30. 세계 10 는 찍어야 하는것 아닌가,1
백신 나오면 카메라 앞에서 빌게이츠 니들 가족부터 1순위로 접종해라 꼭,0
고마워요.. 힘낼게요.. 귀찮아서 마지 못해 쓴 느낌이네~~~,1
2박2일은 뭐니? 기레기야,0
했다에 내손모가지를 걸지!한게 나쁜거냐?!거짓말하는게 나쁘지!,1
달수정도면 여자들이 그냥넘어오는데,1
승리가 빅뱅에서 하는 거라곤 노래도 못불어 춤은 그닥 별로 잘하는거라곤 여자 꼬셔서 노는것 밖엔 없지,1
어찌보면 세상 그 누구보다 행복하게 지내는듯,1
다필요없고 시즌2에도 유재석 박명수 정준하있으면 노젬예약임,1
기가 막히고 말문이 막힌다 진짜 쳐 돌았네,0
저런 새끼들때문에외동이나 형제만 있는 놈들이남매들은 저럴꺼라고 개같은 상상을 하지.,0
"요즘 이런기사 많이 뜨네, 연예인 사귀었다 헤어졌다하는,.,",1
좌빨들 악플 다는 것 봐라 ㅋㅋ,0
왜 여자만 항상 독박육아를 해야하는지 모르겠다,1
웃기다 ㅋㅋ,1
빨갱이 씨끼들은 몽둥이가 약이다.,0
"축하 드립니다~~나의 고등 시절에 테크노,..여신 이었는데.., ㅜㅜ",1
뭘 수습하냐 그냥 늙고 못생긴 년들의 분노지 평생 얼짱이란말도 못 들어본 개돼지 같은 소녀들이 이제 맘충되고 노처녀되서 발악하는거지,0
일본에서는 성희롱 아니라 몰랐나봄ㅋㅋㅋ,0
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...,1
살사람들은 이미 다 샀으니까...,1
"김영희네 엄마가 특별히 나쁜 사람인 것 같냐? 그냥, 저런 사람이 살아남기 유리했던 시대가 있었을 뿐이다. 본인이 방송에 나와서 설치지만 않았어도 조용히 넘어갔을 지도 모르지. 마치, 마이크로닷의 부모가 방송에 나온 것이 빚투의 시작이 된 것처럼... 제발, 꿀리는 구석이 있는 인간들은 방송에 나오지 말고 조용히 살아라. 시간이 해결해 주는 것도 한계가 있는 법이다.",1
너도 위대해지고 싶으면 니애미 젖탱이나 주무르던지,0
마눌은좋겠다 편할거아녀 돈있고,1
그런적없다 구라쳐서 다른게이들 속이기 시도 하시겠재 병신,0
돈 스파이크 빼고는 다 비호감 출연진들이라 시청할 생각 없음,1
한의사 한물 감,1
근데 난 서장훈 낯빛이 어두운게 간이 되게 안좋은 사람처럼 보이든데..검사 한 번 받아보길,1
살이 찌면 찔수록 여자들에게는 호감도가 올라가지. 반대로 남자에게는 성적매력도가 떨어지고.,1
예전과는 다른 모습..다이어트 정말 힘든데 대단해요..날씬은 아니지만 딱 표준..유지만 잘 해준다면 엄지척,1
잘 하고 있다 백수 임대아파트 사는 통베충 틀딱들만 싫어하지 ㅋㅋ,0
구혜선 맞나~*~?!,1
우리한해ㅠㅠㅠㅠ담주부턴 이제 정말 안나오네,1
힘내고 항상 응원합니다 항상 행복일만 있길 바래요^^,1
염병하네 시청자들 농락 그만하시고 박수칠때 떠나셔도 좋을듯 나래랑은 컨셉인것같고 여친도 있는듯하니,0
가짜사나이 시즌1 핫했지만 안본 사람 못본 사람 은근 많았는데 시즌2 지원영상 킹고리즘 방송덕에 더 핫해진듯ㄷㄷㄷ,1
얼굴 갭이 너무 나는거아니냐 양심도없나,1
하... 나혼산 실망... 임수향 핵노잼 ㅠㅠㅠ 박나래 편이나 더 길게 방송 내보내주지,1
수사는 둘째 며느리한테 맡기라고... 명탐정 코난 놔두고 뭐하냐? ㅋㅋㅋ,1
쵸비 선수도 저 말 듣고 얼마나 감동받았을지.... 롤드컵에서 LCK를 빛내주세요 쵸비!,1
방송도 그냥쉬면좋겠다 원래하던모델쪽으로 다시 고고,1
어린애들이 자기들끼리 그런 얘기도 못하냐. 사적인 얘기를 방송으로 내보낸 방송국이 벌 받아야지.,1
남주 얼굴볼때마다 안타깝다.. 아무리 자기만족이라지만서도 ㅠㅠ,1
섣부른 비난이난이나 판단은 시기상조일듯하지만 끼리끼리라고 겁탈한것도 아닐테고 서로좋아서햇으면서 이난리를 피울일은아닌듯둘다 나이도 먹을만큼 먹엇으면서기사꺼리도아니지머.여자는 지몸뚱아리 관리안한죄 남자는 함부로 싸지른죄.서로 알아서해야지,1
귀엽네 나이도 어리구만 좀 봐줘라 돌대가리 용접새끼들아 시키는데로 지지는거밖에 못하는새끼들이 부심은,0
나이차 토나온다 징그러,1
이 기사 제목을 송혜교가 싫어합니다,1
뚜벅충 존나게많네 병신새끼들 싼타페가 씹새끼지 그럼 저기서 안전거리 미확보하고있다가 칼치기로 빠져나가는게 정상이냐 뚜벅충 씹새끼들아뭐 부비트랩이냐 씨발 일부러 엿먹였다고해도 할말 없겠다,0
정말 쓰레기같은 동생이다,0
남 담배피는걸 뭘그리 왈가불가야 흡연자가 한둘인가,1
결혼했구나..이런 백치미 있는 여자가 좋지,1
이언니는 살뺄의지안보임...보는내내 한심하단 생각밖에 안들음.,1
깨끗하게 마무리해라..더티하게 뭐하는짓이야~애들이 커서 이내용을 알면 참 잘했어요 하겠다~~,1
문빠들은 문재앙이의 입안에 서식하는 세균을 받아 쳐 드시고 살아라..코로나보다 더 무서운 쩝쩝이 세균..더럽고 징그럽고 추한 세균덩어리..더 무섭다.ㅋㅋ,0
태양의후회,1
여하튼 내가 봤던 경제 다큐 중 최고임.,1
지디 얼굴 레전드다 .. 진짜 잘생긴듯,1
???:(경호원들에게) 안꺼져? 씨x 개x끼들아!!!,0
연기라고해도 그거 정말 남편 입장에서 굉장한 트라우마지..,1
박형식은 뭐냐,1
근데 박진영이 교주도아니고 목사도 아닌데 왜그리 난리인지 몰겠다,1
이제 버러지들 몰려와 신고하여 블라인드 만들겠죠. ㅠ,0
딸같은건 오버 아닌가? 어디가 딸같다는 건지..,1
화장지웠구만뭘 원래순한인상인데 눈화장때문에 쎄보인것 순둥한얼굴임,1
후반부에 압권이였다 저주거는장면부터 엔딩까지 아이유 미쳤고 여진구도 미쳤다,1
현우가 맨 처음 현주랑 크리스마스 데이트하고 문자 현주에게 보낸 후 담날 영주의 쎄~~한 눈길에 이유없이 눈치보다 갑자기 현주 옆에 두고 지랑 시장 장보러 가자던 영주!!! 이유 묻지도 않고 단지 속초 선택해서 엇갈렸다는 이유로 여행 오자마자 쎄~~하게 굴고 말 안하려 했다는 영주!!! 뭐가 성격좋다는거지?,1
최자보다..엄마때문인것 같은데..최자 욕하는 사람들 이해가 안되네..,1
저런거 보는애들 이해가 안되네 ㅋㅋ 아니 보는거야 시간 남아돌면 그렇다치고 돈은 왜 줌? 돈도 남아도나?,1
떡복이 먹고 나이맛알알아 흑흑,1
동생 태어나면 관심을 자기쪽으로 가져오려고 유독 더 까불고 둘째는 이미 강자가 버티고 있기때문에 상대적으로 얌전한편이더라.윌리엄도 아직 애기인데 벌써 동생이 있으니 관심받고 싶겠지,1
기자가 핀란드사람이 되고싶은가보구나..,1
여자가 문제네 냄새난다,1
문자깨톡으로알리고지랄하면다고소햐,0
"대표적인 과거보정 + 추억 미화.... 방탄이 HOT 진작에 넘었지. 방탄이 세계적으로 급이 너무 높아짐. 서태지도 어림없고 적어도 비틀즈, 마이클 잭슨 정도는 등판해야 비교가 되지",1
중딩 같지 않은디? 그냥 쥐좆만한년 데려다 컨셉질 아녀?,0
트와는타격없겠다.....,1
계집들은 여름에 브라자 대신에 꼭지만 가리는 접착식 테이프 붙이지 않나?,0
제일 심한게 유통.제과쪽임...일본과자 아이스크림 조난 배낌롯데나 동아오츠카야 사실상 같은기업이나 제 휴맺은거니꺼 그려러니해도gs25에서조차도 일본식 둥그란 삼각김밥 출시하는거보고 기겁함 ㅅㅂ...뭐 일본에서도 요세 편의점마다 신라면팔고 붉닭복음면팔고 케이팝 여기저기서도 듣린다만한국이 일본영향받은거에 비하면 아직 너무 부족함5년전에 일본애들이랑 이미트 쇼핑가니까 일본애들이 마트물건들보고전부다 자기들 따라햇다고 비웃더라 ㅅㅂ,0
REF의 이성욱입니다 여러분 이성욱 차 랜드로버 맞구여 불륜녀하고 재혼한거 맞구여 ~ 기혼 맞습니다,1
잉직형 살좀빼자 제발,1
아니 사람들이 왜 이리 말을 못되게 하냐? 저 덩치면 보통 사람보다 더 배고플텐데 한시간 먼저 일어나서 조금 먹었으면 밤에 덜 고통스러워 좀 투덜댄거 가지고. 니들 방송 보면서 악플 달며 투덜대는 것보다는 나은데. 게다가 굳은 의지로 안 먹고 잠잤잖아. 저것도 대단한거다.,1
사랑이 많이 컸네^^~♡건강하고 예쁘게 자라길,1
전속계약이 10년은 길긴하다.어린나이에 바짝 활동하는 아이돌 경우엔 선택권이 없다시피 한거니까.그렇다고 투자하는 입장에서 다 성공하는것도 아니고 손실 볼때도 있고 사업성을 생각하면 길다고 볼수도 없고.지금 법은 그렇다하더라도 향후에 원만하게 법이 정리될 필요는 있을듯.,0
제발 그만좀해라 살기어려운 미시국에!자랑질좀 그만해라 유진아! 기부도좀 많이하고 자랑질도좀해!!,1
