No,hate,offensive,comment,
83,FALSE,TRUE,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",
84,TRUE,TRUE,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",
85,FALSE,TRUE,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",
86,TRUE,TRUE,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",
87,FALSE,TRUE,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",
88,FALSE,TRUE,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",
89,FALSE,TRUE,"""@CASHandBOOBIES: I been kidnapped yo bitch""",
90,TRUE,FALSE,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",
91,TRUE,TRUE,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",
92,TRUE,TRUE,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",
93,TRUE,TRUE,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",
94,FALSE,TRUE,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",
95,TRUE,TRUE,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",
96,FALSE,TRUE,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",
97,FALSE,TRUE,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",
98,FALSE,TRUE,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",
99,FALSE,TRUE,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",
100,TRUE,TRUE,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",
101,FALSE,TRUE,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",
102,FALSE,TRUE,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",
103,FALSE,TRUE,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",
104,FALSE,TRUE,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",
105,FALSE,TRUE,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",
106,FALSE,TRUE,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",
107,FALSE,TRUE,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",
108,FALSE,TRUE,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",
109,FALSE,TRUE,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",
110,FALSE,TRUE,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",
111,TRUE,FALSE,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",
112,FALSE,TRUE,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",
113,FALSE,TRUE,"""@Dietrich1892: Yall shut up:p"" make me bitch",
114,TRUE,TRUE,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",
115,FALSE,TRUE,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",
116,FALSE,FALSE,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",
117,FALSE,TRUE,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",
118,FALSE,TRUE,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",
119,FALSE,FALSE,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",
120,FALSE,TRUE,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",
121,FALSE,FALSE,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",
122,FALSE,TRUE,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",
123,FALSE,FALSE,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",
124,FALSE,TRUE,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",
125,FALSE,FALSE,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",
126,FALSE,TRUE,"""@G27Status: I could go for a fat ass bitch on my lap"" same",
127,FALSE,TRUE,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",
128,FALSE,TRUE,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",
129,FALSE,TRUE,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",
130,FALSE,TRUE,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",
131,FALSE,TRUE,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",
132,FALSE,TRUE,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",
133,FALSE,TRUE,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",
134,FALSE,TRUE,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",
135,FALSE,TRUE,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",
136,FALSE,TRUE,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",
137,FALSE,TRUE,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",
138,FALSE,TRUE,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",
139,TRUE,TRUE,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",
140,TRUE,TRUE,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",
141,FALSE,TRUE,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",
142,FALSE,TRUE,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",
143,FALSE,TRUE,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",
144,TRUE,TRUE,"""@HoskinsTy96: White boy power bitch"" black power bitch",
145,FALSE,TRUE,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",
146,FALSE,TRUE,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",
147,FALSE,TRUE,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",
148,FALSE,TRUE,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",
149,FALSE,TRUE,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",
150,FALSE,TRUE,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",
151,FALSE,TRUE,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",
152,FALSE,TRUE,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",
153,FALSE,TRUE,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",
154,FALSE,TRUE,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",
155,FALSE,TRUE,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",
156,FALSE,TRUE,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",
157,FALSE,TRUE,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",
158,FALSE,TRUE,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",
159,FALSE,TRUE,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",
160,FALSE,TRUE,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",
161,FALSE,TRUE,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",
162,FALSE,TRUE,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",
163,FALSE,TRUE,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",
164,FALSE,TRUE,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",
165,FALSE,FALSE,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",
166,FALSE,TRUE,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",
167,FALSE,TRUE,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",
168,FALSE,TRUE,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",
169,FALSE,TRUE,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",
170,FALSE,TRUE,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",
171,FALSE,TRUE,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",
172,FALSE,TRUE,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",
173,FALSE,TRUE,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",
174,FALSE,TRUE,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",
175,FALSE,TRUE,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",
176,FALSE,TRUE,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",
177,FALSE,TRUE,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",
178,TRUE,TRUE,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",
179,FALSE,TRUE,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",
180,FALSE,TRUE,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",
181,FALSE,FALSE,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",
182,FALSE,FALSE,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",
183,FALSE,TRUE,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",
184,FALSE,TRUE,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",
185,TRUE,FALSE,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",
186,FALSE,TRUE,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",
187,FALSE,TRUE,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",
188,FALSE,TRUE,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",
189,FALSE,TRUE,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",
190,FALSE,TRUE,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",
191,FALSE,FALSE,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",
192,TRUE,TRUE,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",
193,FALSE,TRUE,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",
194,FALSE,TRUE,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",
195,FALSE,TRUE,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",
196,FALSE,TRUE,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",
197,FALSE,FALSE,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",
198,FALSE,TRUE,"""@MvckFadden: ""Stay beautiful you bitch""""",
199,FALSE,TRUE,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",
200,FALSE,TRUE,"""@NastyCopper: Money getting taller and bitches getting blurry""",
201,TRUE,TRUE,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",
202,FALSE,TRUE,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",
203,TRUE,TRUE,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",
204,FALSE,TRUE,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",
205,TRUE,TRUE,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",
206,FALSE,TRUE,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",
207,FALSE,TRUE,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",
208,FALSE,TRUE,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",
209,FALSE,TRUE,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",
210,FALSE,TRUE,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",
211,FALSE,TRUE,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",
212,FALSE,TRUE,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",
213,FALSE,TRUE,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",
214,FALSE,TRUE,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",
215,FALSE,TRUE,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",
216,FALSE,TRUE,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",
217,FALSE,TRUE,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",
218,FALSE,TRUE,"""@QUAN1T0: These bitches don't care they just play that role.""",
219,FALSE,TRUE,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",
220,TRUE,TRUE,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",
221,FALSE,TRUE,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",
222,FALSE,TRUE,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",
223,TRUE,TRUE,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",
224,FALSE,TRUE,"""@RenegadeMo: Fat hoes get chose"" lol",
225,FALSE,TRUE,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",
226,FALSE,TRUE,"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",
227,TRUE,TRUE,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",
228,FALSE,TRUE,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",
229,FALSE,TRUE,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",
230,TRUE,TRUE,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",
231,FALSE,TRUE,"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",
232,FALSE,TRUE,"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",
233,FALSE,TRUE,"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",
